County,Waste_Type,Operatio_ Type,Permit_ID,Permit_Name,Status,Contact,Telephone,Address1,Address2,Address3,City,Sate,Zip
Franklin,CD,TP,3505-TP-2020,Wall Recycling,Active,Mr. Gary Getty,(919) 452-3740,2310 Garner Rd.,2095 US-1,2310 Garner Rd.,Raleigh,NC,27610
Gaston,CD,LF*,3606-CDLF-1995,Gaston County C&D Landfill,Active,Mr. Dan Ziehm,(704) 862-6795,3155 Philadelphia Church Road,,3155 Philadelphia Church Road,Dallas,NC,28168
Greene,CD,LF*,4002-CDLF-1997,Greene County CDLF,Active,Mr. David Jones,(252) 747-5720,PO. BOX 543,105 Landfill Rd.,105 Landfill Rd.,Snow Hill,NC,28580
Guilford,CD,LF*,4103-CDLF-1998,"Greensboro, City of White Street Landfill",Active,Mr. Richard Lovett,(336) 373-4188,2503 White Street,,2503 White Street,Greensboro,NC,27405
Guilford,CD,LF,4116-CDLF-2012,"WI High Point Landfill, LLC",Active,Mr. Seth Heath,(336) 668-3712,5830 Riverdale Dr,,5830 Riverdale Dr,Jamestown,NC,27282
Guilford,CD,LF,4117-CDLF-2008,A-1 Sandrock C&D Landfill,Active,Mr. Jason Tarkenton,(336) 382-9707,PO Box 77077,2091 Bishop Road,2091 Bishop Road,Greensboro,NC,27406
Guilford,CD,TP,4117-TP-2009,A-1 Sandrock Treatment and Processing Facility,Active,Mr. Jason Tarkenton,(336) 382-9707,PO Box 77077,2091 Bishop Road,2091 Bishop Road,Greensboro,NC,27406
Guilford,CD,Trans,4122T-TRANSFER-2012,WI Burnt Poplar Transfer LLC,Active,Mr. Seth Heath,(336) 668-3712,6313 Burnt Poplar Rd,,6313 Burnt Poplar Rd,Greensboro,NC,27409
Halifax,CD,LF,4204-CDLF-2013,Halifax County Landfill,Active,Mr. Greg Griffin,(252) 904-7363,PO Box 70,921 Liles Rd.,921 Liles Rd.,Halifax,NC,27939
Harnett,CD,LF*,4302-CDLF-2018,Harnett County Dunn-Erwin C&D Landfill,Active,Mr. Chad Beane,(910) 814-6004,PO Box 2773,449 Daniels Road,449 Daniels Road,Dunn,NC,28334
Harnett,CD,LF,4303-CDLF-1997,Harnett Co. Anderson Creek C&D Landfill,Active,Mr. Chad Beane,(910) 814-6004,PO Box 2773,1086 Poplar Drive,1086 Poplar Drive,Lillington,NC,27546
Henderson,CD,TP,4508-TP-2020,"Garbage Pal, LLC",Active,Mr. Jared Breneman,(828) 575-3160,424 Mills Gap Road,,424 Mills Gap Road,Arden,NC,28704
Johnston,CD,LF,5103-CDLF-,Johnston County C&D Landfill,Active,Mr. Rick Proctor,(919) 938-4750,PO Box 2263,680 County Home Road,680 County Home Road,Smithfield,NC,27577
Jones,CD,TP,5202-TP-2012,Maysville C&D Recycling & Recovery Facility,Active,Mr. Kevin Dail,(910) 284-2309,166 Center St,11710 Hwy 17 N,11710 Hwy 17 N,Jacksonville,NC,28546
Jones,CD,LF,5203-CDLF-2013,Maysville C & D,Active,Mr. Kevin Dail,(910) 284-2309,166 Center St,11710 Hwy 17 N,11710 Hwy 17 N,Jacksonville,NC,28546
Lenoir,CD,LF*,5403-CDLF-1997,Lenoir County CDLF,Active,Ms. Kim Hill,(252) 566-4194,2949 Hodges Farm Road,,2949 Hodges Farm Road,La Grange,NC,28551
Lincoln,CD,LF,5503-CDLF-1999,Lincoln County C&D Unit,Active,Mr. Mark Bivins,(704) 736-8477,5291 Crouse Road,,5291 Crouse Road,Crouse,NC,28033
Lincoln,CD,LF,5504-CDLF-1999,Lake Norman Landfill,Active,Mr. Timothy Ginn,(480) 459-7339,7099 Quarry Ln,,7099 Quarry Ln,Stanley,NC,28164
Madison,CD,LF,5803-CDLF-1995,Madison County C&D Unit,Active,Mr. Sam Lunsford,(828) 649-2311,271 Craig Rudisill Road,,271 Craig Rudisill Road,Marshall,NC,28753
Martin,CD,LF,5901-CDLF-1995,Martin County C&D Landfill,Active,Mr. Justin Harrison,(252) 799-6552,PO Box 668,1445 Landfill Rd,1445 Landfill Rd,Williamston,NC,27892
Mecklenburg,CD,LF,6013-CDLF-1993,Greenway Waste Solutions at North Meck,Active,Mr. Roger Barnes,(704) 895-3367,15300 Holbrooks Rd,-,15300 Holbrooks Rd,Huntersville,NC,28078
Moore,CD,LF,6301-CDLF-1992,Moore County C&D Landfill,Active,Mr. David Lambert,(910) 947-4318,PO Box 905,456 Turning Leaf Way,456 Turning Leaf Way,Carthage,NC,28327
Nash,CD,LF,6403-CDLF-2000,Nash County C&D Landfill,Active,Mr. Ben Barnes,(252) 459-9899,PO Box 849,3057 Duke Rd,3057 Duke Rd,Nashville,NC,27856
New Hanover,CD,MatRecovery,6504-MWP-2016,New Hanover County Materials Recovery & Recycling Facility,Active,Mr. Joe Suleyman,(910) 798-4403,3002 US Highway 421 North,5210 US Highway 421 North,5210 US Highway 421 North,Wilmington,NC,28401
Onslow,CD,Trans,6712-TRANSFER-2016,Folkstone C&D Recycling Collection/Transfer Facility,Active,Mr. Kevin Dail,(910) 284-2309,166 Center St,1172 Hwy 172,1172 Hwy 172,Jacksonville,NC,28546
Orange,CD,LF,6804-CDLF-2005,Orange County CDLF,Active,Mr. Robert Willias,(919) 968-2788,1207 Eubanks Road,,1207 Eubanks Road,Chapel Hill,NC,27516
Pasquotank,CD,LF,7002-CDLF-1996,Pasquotank County C&D Landfill,Active,Mr. Bradley Gardner,(252) 335-4105,983 Simpson Ditch Road,,983 Simpson Ditch Road,Elizabeth City,NC,27907
Pitt,CD,MatRecovery,7404-MWP-2016,Pitt County Materials Recovery & Recycling Facility,Active,Mr. John Demary,(252) 902-3355,3025 Landfill Road,,3025 Landfill Road,Greenville,NC,27834
Pitt,CD,LF,7407-CDLF-2009,C & D Landfill Inc,Active,Mrs. April Haltigan,(252) 752-8274,802 Recycling Lane,,802 Recycling Lane,Greenville,NC,27834
Randolph,CD,LF,7606-CDLF-2001,Wall Recycling CDLF,Active,Mr. Dan Jarboe,(919) 906-2747,2310 Garner Road,385 Gold Hill Road,385 Gold Hill Road,Raleigh,NC,27610
Randolph,CD,LF,7606-CDLF-2021,Wall Recycling CDLF,Active,Mr. Dan Jarboe,(919) 906-2747,2310 Garner Rd,385 Gold Hill Rd,385 Gold Hill Rd,Raleigh,NC,27610
Randolph,CD,TP,7606-TP-2021,Wall Recycling Facility,Active,Mr. Dan Jarboe,(919) 906-2747,2310 Garner Rd,385 Gold Hill Road,385 Gold Hill Road,Raleigh,NC,27610
Robeson,CD,LF*,7803-CDLF-1997,Robeson County CDLF,Active,Mr. Harrell Walters,(910) 865-3348,PO Box 366,246 Landfill Road,246 Landfill Road,Saint Pauls,NC,28384
Rutherford,CD,LF,8103-CDLF-2002,Rutherford County C&D,Active,Mr. James Kilgo,(828) 287-6002,PO Box 1957,656 Laurel Hill Dr.,656 Laurel Hill Dr.,Rutherfordton,NC,28139
Sampson,CD,LF,8202-CDLF-1996,"Sampson County Disposal, LLC",Active,Mr. Joseph Smith,(910) 525-4132,PO Box 640,7434 Roseboro Hwy,7434 Roseboro Hwy,Roseboro,NC,28382
Scotland,CD,LF*,8301-CDLF-1997,Scotland County CDLF,Active,Mr. Bryant Higgins,(910) 844-9206,PO Box 489,10681 Patterson Rd,10681 Patterson Rd,Laurinburg,NC,28353
Stanly,CD,LF*,8401-CDLF-1997,"Albemarle, City of CDLF",Active,Mr. Darren Preslar,(704) 984-9680,PO Box 190,40592b Stony Gap Road,40592b Stony Gap Road,Albemarle,NC,28002-0190
Union,CD,LF*,9001-CDLF-1998,Union County C&D,Active,Mr. Christopher Medlin,(704) 989-1949,2125 Austin Chaney Road,,2125 Austin Chaney Road,Wingate,NC,28174
Wake,CD,TP,9224-MWP-2012,"Wake Reclamation, LLC",Active,Mr. Donald Plessinger,(919) 557-9583,421 Raleigh View Road,,421 Raleigh View Road,Raleigh,NC,27610
Wake,CD,LF,9226-CDLF-2020,"Shotwell Landfill, Inc",Active,Mr. Josh Daher,(919) 832-8234,103 Rupert Road,4724 Smithfield Rd,4724 Smithfield Rd,Raleigh,NC,27603
Wake,CD,Trans,9227T-TRANSFER-2012,Thornton Road Mixed Waste Transfer and Recycling Center,Active,Mr. Karl Regali,(919) 433-0906,5111 Chin Page Rd.,5565 Thornton Rd.,5565 Thornton Rd.,Durham,NC,27703
Wake,CD,LF,9228-CDLF-2001,Red Rock Disposal C&D Landfill,Active,Mr. Donald Plessinger,(919) 557-9583,7130 New Landfill Drive,,7130 New Landfill Drive,Holly Springs,NC,27540
Wake,CD,Trans,9229T-TRANSFER-2020,Shotwell Transfer Station II,Active,Mr. Josh Daher,(919) 832-8234,103 Rupert Rd,1506 1/2 North Salem St,1506 1/2 North Salem St,Raleigh,NC,27603
Wake,CD,LF,9230-CDLF-2014,"Greenway Waste Solutions of Apex, LLC",Active,Mr. Grant Kiser,(919) 367-2895,5940 Old Smithfield Rd,,5940 Old Smithfield Rd,Apex,NC,27539
Wake,CD,LF,9231-CDLF-2012,Brownfield Road C&D Landfill,Active,Mr. Donald Plessinger,(919) 557-9583,7130 New Landfill Drive,2600 Brownfield Road,2600 Brownfield Road,Holly Springs,NC,27540
Wake,CD,Trans,9234-TRANSFER-2012,Wake Transfer Station,Active,Mr. Donald Plessinger,(919) 557-9583,9220 Durant Rd.,,9220 Durant Rd.,Raleigh,NC,27616
Wake,CD,Trans,9237T-TRANSFER-2020,"Capitol Waste Transfer, LLC",Active,Mr. Josh Daher,(919) 832-8234,103 Rupert Rd,424 Warehouse Dr,424 Warehouse Dr,Raleigh,NC,27603
Wake,CD,MatRecovery,9240-MWP-2017,Elite Waste Services Pristine Water Facility,Active,Mr. Brian Kiefer,(919) 704-0312,2310 Garner Rd.,520 Pristine Water Dr.,520 Pristine Water Dr.,Raleigh,NC,27610
Wake,CD,MatRecovery,9242-MWP-2020,Wall Recycling - Garner Road,Active,Mr. Dustin Hill,(919) 582-7777,2310 Garner Road,2126 Garner Road,2126 Garner Road,Raleigh,NC,27610
Washington,CD,LF,9404-CDLF-1996,Washington County C&D Landfill,Active,Mr. Danny Reynolds,(252) 793-5615,P O Box 1007,718 Landfill Road,718 Landfill Road,Plymouth,NC,27962
Wayne,CD,LF*,9601-CDLF-1997,Wayne County CDLF,Active,Mr. Tim Rogers,(919) 689-2994,460B South Landfill Road,,460B South Landfill Road,Dudley,NC,28333
Wilson,CD,LF,9809-CDLF-2004,Wilson County Westside C&D Landfill,Active,Mr. Andy Davis,(252) 399-2823,PO Box 1728,2400 NC Hwy 42 East,2400 NC Hwy 42 East,Wilson,NC,27894
Ashe,HHW,Collection,0502TP-HHW-,Ashe County HHW Facility,Active,Mr. Brian Houck,(336) 877-0818,PO Box 1327,311 Dogget Rd,,West Jefferson,NC,28694
Brunswick,HHW,Collection,1012-HHW-2020,Brunswick County HHW Collection Facility,Active,Mr. Jeremy Baker,(910) 253-6314,PO Box 249,172 Landfill Rd NE,,Bolivia,NC,28422
Buncombe,HHW,Collection,1107-HHW-2001,Buncombe County HHW Unit,Active,Mr. Dane Pedersen,(282) 250-5477,81 Panther Branch Road,,,Alexander,NC,28701
Cabarrus,HHW,Collection,1308-HHW-,Cabarrus County HHW Collection Facility,Active,Mr. Kevin Grant,(704) 920-3209,246 General Services Drive Sw,,,Concord,NC,28026
Chatham,HHW,Collection,1904TP-HHW-,Chatham Co HHW Collection Facility,Active,Ms. Shannon Culpepper,(919) 545-7874,PO Box 1550,39 County Services Road,,Pittsboro,NC,27312
Cumberland,HHW,Collection,26FH-HHW-,Cumberland Co HHW Collection Facility,Active,Ms. Amanda Bader,(910) 438-4041,698 Ann Street,923 Wilkes Road,,Fayetteville,NC,28301
Davidson,HHW,Collection,2906-HHW-,Davidson County HHW,Active,Mr. Charlie Brushwood,(336) 240-0303,1442 Old Highway 29,220 Davidson County Landfill Road,,Thomasville,NC,27360
Durham,HHW,Collection,3212-HHW-2014,Durham City of HHW,Active,Mr. Dan Parker,(919) 560-1151,1833 Camden Ave,2115 E. Club Blvd.,,Durham,NC,27704
Forsyth,HHW,Collection,3415-HHW-2010,"Resource Recovery And Reduction, Co.",Active,Ms. Michele Sakwa,(704) 577-4337,"1401 S. MLK, Jr. Drive",,,Winston-Salem,NC,27107
Gaston,HHW,Collection,3609TP-HHW-,Gaston County HHW Collection Facility,Active,Ms. Marcie Smith,(704) 922-0267,120 Leisure Lane,,,Dallas,NC,28034
Henderson,HHW,Collection,4504-HHW-2011,Henderson County  HHW Unit,Active,Mr. Greg Wiggins,(828) 388-8377,191 Transfer Station Dr,265 Convenience Center Dr,,Hendersonville,NC,28791
Iredell,HHW,Collection,4903-HHW-2020,Iredell County Househouse Hazardous Waste,Active,Mr. Teddy Boller,(704) 878-5430,354 Twin Oaks Road,,,Statesville,NC,28625
Madison,HHW,Collection,5803-HHW-,Madison County Solid Waste HHW,Active,Mrs. Rebecca Shook,(828) 649-2311,271 Craig Rudisill Rd,,,Marshall,NC,28753
Mecklenburg,HHW,Collection,6016TP-HHW-,North Mecklenburg HHW Facility,Active,Mr. Steve Hoffman,(980) 314-3873,2145 Suttle Ave,12300 Statesville Road,,Charlotte,NC,28208
Mecklenburg,HHW,Collection,6017TP-HHW-,Hickory Grove HHW Recycling Facility,Active,Mr. Steve Hoffman,(980) 314-3873,2145 Suttle Ave,8007 Pence Road,,Charlotte,NC,28208
Mecklenburg,HHW,Collection,6019-HHW-,Mecklenburg County Landfill,Active,Mr. Steve Hoffman,(980) 314-3873,2145 Suttle Ave,17131 Lancaster Hwy,,Charlotte,NC,28208
Mecklenburg,HHW,Collection,6035-HHW-2016,Mecklenburg County Compost,Active,Mr. Steve Hoffman,(980) 314-3873,2145 Suttle Ave,140 Valleydale Rd,,Charlotte,NC,28208
Moore,HHW,Collection,6303-HHW-2020,Moore County Eagle Springs Road HHW Collection Center,Active,Mr. David Lambert,(910) 947-4318,364 Eagle Springs Road,,,Eagle Springs,NC,27242
New Hanover,HHW,Collection,6505-HHW-2013,New Hanover Waste-to-Energy Facility,Active,Mr. Joe Suleyman,(910) 798-4403,3002 US Hwy 421 North,,,Wilmington,NC,28401
Orange,HHW,Collection,6805-HHW-2013,Orange County Walnut Grove HHW,Active,Ms. Kristina Velasquez Witosky,(919) 918-4916,1207 Eubanks Road,3605 Walnut Grove Church Road,,Chapel Hill,NC,27516
Orange,HHW,Collection,6806-HHW-2018,Eubanks Road Convenience Center,Active,Ms. Kristina Velasquez Witosky,(919) 918-4916,1207 Eubanks Road,1518 Eubanks Road,,Chapel Hill,NC,27516
Rockingham,HHW,Collection,7903-HHW-2013,"Eden, City of HHW Collection Facility",Active,Mr. Dusty Curry,(336) 623-7783,308 E. Stadium Dr.,123 Mebane Bridge Rd.,,Eden,NC,27288
Transylvania,HHW,Collection,8807-HHW-2002,Transylvania County HHW Unit,Active,Mr. Kenn Webb,(828) 884-1842,500 Howell Road,,,Brevard,NC,28712
Wake,HHW,Collection,9203-HHW-2009,South Wake Co Feltonsville HHW Facility,Active,Ms. Meghan Baldwin,(919) 856-5698,PO Box 550,6150 Old Smithfield Road,,Raleigh,NC,27602
Wake,HHW,Collection,9218-HHW-2009,North Wake Co HHW Collection Facility,Active,Ms. Meghan Baldwin,(919) 856-5698,PO Box 550,9037 Deponie Drive,,Raleigh,NC,27602
Wake,HHW,Collection,9239-HHW-2016,Wake HHW Wendell,Active,Ms. Meghan Baldwin,(919) 856-5698,PO Box 550,5051 Wendell Boulevard,,Raleigh,NC,27602
Watauga,HHW,Collection,9503-HHW-2015,Watauga County Permanent HHW Facility,Active,Mr. Cole Kiziah,(828) 264-5305,512 Landfill Road,,,Boone,NC,28410
Buncombe,Indus,LF,1119-INDUS-2020,Duke Energy Progress - Asheville,Active,Mrs. Bryson Allison,(980) 373-6636,526 South Church Street,46 Duke Energy Lane,,Charlotte,NC,28202
Cabarrus,Indus,TP,1307-TP-2009,Tarheel Bark Company - A Division of Garick LLC,Active,Ms. Michelle Sanderson,(704) 456-8263,8829 Rocky River Road,,,Harrisburg,NC,28075
Catawba,Indus,LF,1812-INDUS-2008,"Duke Energy Carolinas - Marshall, Industrial",Active,Mr. Tyler Hardin,(980) 373-5697,8320 East NC Highway 150,,,Terrell,NC,28682
Columbus,Indus,LF,2402-INDUS-2005,International Paper,Active,Mr. Tim Gill,(910) 362-4934,865 John L. Riegel Road,,,Riegelwood,NC,28456
Gaston,Indus,LF,3612-INDUS-2008,Duke Energy Carolinas - Allen,Active,Ms. Courtney Murphy,(704) 382-7171,526 South Church Street,253 Plant Allen Road,,Charlotte,NC,28202
Haywood,Indus,LF,4406-INDUS-1984,"Blue Ridge Paper Products, Inc.",Active,Mr. Chuck Cranford,(828) 646-2028,1155 Incinerator Road,,,Canton,NC,28716
Mecklenburg,Indus,LF,6004-INDUS-1981,Duke Energy Carolinas - McGuire,Active,Ms. Courtney Murphy,(704) 382-7171,12700 Hagers Ferry Road,13339 Hagers Ferry Road,,Huntersville,NC,28078
Person,Indus,LF,7302-INDUS-1988,Duke Energy Progress - Roxboro,Active,Ms. Kim Witt,(336) 215-4576,526 South Church Street,1700 Dunnaway Road,,Charlotte,NC,28202
Person,Indus,LF,7305-INDUS-2012,"Duke Energy, Mayo Steam Electric Plant",Active,Ms. Kim Witt,(336) 632-3750,10660 Boston Road,,,Roxboro,NC,27574
Randolph,Indus,LF,7602-INDUS-1983,"Energizer Battery Manufacturing, Inc.",Active,Mrs. Julia Bowman,(336) 672-4546,419 Art Bryan Drive,County Land Road,,Asheboro,NC,27203
Rutherford,Indus,LF,8106-INDUS-2009,Duke Energy Carolinas - Rogers,Active,Mr. Ryan Czop,(980) 373-2779,526 South Church Street,573 Duke Power Road,,Charlotte,NC,28202
Scotland,Indus,TP,8303-TP-2021,"Laurinburg, City of TP-Air Curtain Incinerator-Burner",Active,Angie Foster,(910) 276-2364,600 Hall Street,,,Laurinburg,NC,28352
Stokes,Indus,LF,8504-INDUS-2007,"Duke Energy Carolinas - Belews Creek, Craig Road Landfill",Active,Mrs. Melonie Martin,(336) 445-0610,3195 Pine Hall Road,,,Belews Creek,NC,27009
Stokes,Indus,LF,8505-INDUS-2008,"Duke Energy Carolinas - Belews Creek, FGD",Active,Mrs. Melonie Martin,(336) 445-0610,3195 Pine Hall Road,,,Belews Creek,NC,27009
Washington,Indus,LF,9401-INDUS-2008,"Domtar Paper Company Landfill, Lined #3",Active,Mr. Micheal Clea,(252) 793-8843,PO Box 747,Highway 149 North,,Plymouth,NC,27962
Wilkes,Indus,LF,9703-INDUS-1981,Louisiana-Pacific Corporation,Active,Mr. Matt Holcome,(336) 696-3483,1151 Abtco Rd.,,,North Wilkesboro,NC,28659
Alamance,LCID,TP,0106-TP-2012,Carolina Resource Recovery LCID T&P Facility,Active,Mr. Steven Scott,(336) 214-7229,603 South 5th Street,3285 Jones Drive,,Mebane,NC,27302
Alamance,LCID,LF,0107-LCID-2014,Key Properties LCID Landfill,Active,"Mr. Clay Moody, Jr.",(336) 380-2458,PO Box 849,2380 Sandy Cross Road,,Burlington,NC,27216
Ashe,LCID,LF,0501-LCID-2020,Ashe County LCID Facility,Active,Mr. Scott Hurley,(336) 846-3721,PO Box 1327,739 Fred Pugh Road,,West Jefferson,NC,28694
Brunswick,LCID,LF,10E-LCID-1993,Brunswick County  LCID Landfill,Active,Mr. Jeremy Baker,(910) 253-6314,PO Box 249,172 Landfill Rd NE,,Bolivia,NC,28422
Buncombe,LCID,TP,1111-TP-,Riverside Stump Dump at Asheville,Active,Mrs. Clara Ray,(828) 258-7339,620 Riverside Drive,,,Asheville,NC,28801
Cabarrus,LCID,TP,1306-TP-2019,Highway 49 C&D Landfill & Recycling Greenway Waste,Active,Mr. Andrew Burris,(704) 201-5944,2105 Speedrail Court,,,Concord,NC,28025
Cabarrus,LCID,LF,1307-LCID-2009,"Tarheel Bark Company - A Division of Garick, LLC",Active,Ms. Michelle Sanderson,(704) 456-8269,8829 Rocky River Road,,,Harrisburg,NC,28075
Cabarrus,LCID,LF,13F-LCID-2013,Morehead LCID Landfill,Active,Mr. Doug Foster,(704) 361-1218,8752 Overcash Rd,,,Concord,NC,28027
Catawba,LCID,TP,1803-TP-,Blackburn Resource Recovery T&P Facility,Active,Mr. Rodney Hamby,(704) 462-1348,PO Box 389,3993 Rocky Ford Road,,Newton,NC,28658
Chatham,LCID,LF,1909-LCID-2010,Stone Landfill LCID,Active,Mr. Alan Stone,(919) 971-0918,5180-A Big Woods Rd,52 Rock Hill Dr,,Chapel Hill,NC,27517
Cleveland,LCID,TP,2304-TP-2020,"Shelby, City of  T & P Facility",Active,Mr. Scott Black,(704) 484-6846,PO Box 207,1940 South Lafayette Street,,Shelby,NC,28151
Columbus,LCID,LF,2401-LCID-2000,Columbus County Landfill,Active,Mrs. Amanda Davis,(910) 234-1417,612 North Madison Street,107 Landfill Road,,Whiteville,NC,28472
Craven,LCID,LF,2513-LCID-2013,Craven LCID Landfill,Active,Mr. Terry Morris,(252) 670-6749,415 Streets Ferry Rd.,,,Vanceboro,NC,28586
Craven,LCID,LF,25B-LCID-,Cherry Point LCID,Active,Mr. Nathan Arnett,(252) 466-5271,Building 4223,,,MCAS Cherry Point,NC,28533-0006
Craven,LCID,LF,25I-LCID-,Cieszko LCID,Active,Mr. Martin Cieszko,(252) 447-2096,PO Box 690,1090 NC Hwy 101,,Havelock,NC,28562
Cumberland,LCID,LF,2612-LCID-2008,Highland LCID Landfill,Active,Mr. Steve Waters,(910) 978-2412,P. O. Box 35376,6020 Murchison Rd.,,Fayetteville,NC,28303
Cumberland,LCID,LF,26K-LCID-,Doc Bennett LCID Landfill,Active,Mr. Steve Waters,(910) 978-2412,P. O. Box 35376,Sandy Run Rd.,,Fayetteville,NC,28303
Cumberland,LCID,LF,26L-LCID-,Snow Hill LCID Landfill,Active,"Mr. Jerald F McDonald, Jr.",(910) 630-2200,2611 Murchison Road,Claude Lee Road,,Fayetteville,NC,28311
Cumberland,LCID,LF,26M-LCID-2012,"Autry Grading, Inc., LCID Landfill",Active,Mr. Kenneth Autry,(910) 424-3458,Post Office Box 368,5124 US Hwy 301 S,,Hope Mills,NC,28348
